;age;job;marital;education;credit_in_default;housing_loan;personal_loan;last_contact_type;last_contact_month;last_contact_day;last_contact_duration;n_contacts_this_campaign;days_since_last_contact;n_contacts_prev_campaign;prev_campaign_outcome;registered
0;38.0;student - Albufeira;divorced;unknown;no;no;no;cellular;may;tue;244.0;3;999;0;nonexistent;no
1;34.0;services - Mealhada;married;professional.course;no;no;no;cellular;may;mon;190.0;3;999;0;nonexistent;no
2;43.0;housemaid - Vila Franca de Xira;;;unknown;yes;yes;cellular;jul;thu;97.0;2;999;0;nonexistent;no
3;75.0;retired - Mirandela;married;basic.4y;no;no;no;cellular;oct;wed;113.0;2;999;0;nonexistent;no
4;58.0;retired - Funchal;married;unknown;no;unknown;unknown;telephone;may;tue;174.0;1;999;0;nonexistent;no
5;30.0;admin. - Ponte de Sor;single;university.degree;no;no;no;cellular;may;wed;82.0;2;999;1;failure;no
6;29.0;services - Queluz;single;high.school;no;yes;no;cellular;nov;wed;178.0;1;999;1;failure;no
7;32.0;admin. - Esmoriz;divorced;basic.9y;no;yes;no;cellular;jul;mon;118.0;3;999;0;nonexistent;no
8;32.0;blue-collar - Chaves;;university.degree;unknown;yes;no;cellular;nov;tue;63.0;1;999;0;nonexistent;no
9;24.0;technician - Agualva-Cacém;;professional.course;unknown;no;no;telephone;may;mon;149.0;4;999;0;nonexistent;no
10;45.0;blue-collar - Valongo;married;basic.4y;no;no;no;telephone;jul;fri;;1;999;0;nonexistent;no
11;32.0;technician - Portimão;single;professional.course;no;no;yes;cellular;jul;tue;;1;999;0;nonexistent;no
12;50.0;unknown - Peniche;married;basic.4y;unknown;no;yes;cellular;may;tue;77.0;4;999;1;failure;no
13;33.0;services - Vila Nova de Famalicão;divorced;high.school;no;yes;yes;telephone;may;wed;;3;999;0;nonexistent;no
14;53.0;blue-collar - Trancoso;married;unknown;no;no;no;cellular;aug;mon;115.0;1;999;0;nonexistent;no
15;36.0;blue-collar - Funchal;married;basic.9y;no;yes;no;cellular;may;mon;156.0;1;999;1;failure;no
16;32.0;technician - Rebordosa;single;high.school;no;no;no;cellular;aug;mon;111.0;5;999;0;nonexistent;no
17;28.0;blue-collar - Trancoso;married;basic.9y;no;yes;no;telephone;jun;wed;;1;999;0;nonexistent;no
